SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes
SKU0001,Pantry Product 13,Pantry,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH2679,2025-07-14,2025-06-01,2027-04-25,57,359,100,36,0,0,28.57,971000,12.57,51.0,22,1,5.81,5.71,2084.25,2.39,5.0,0.7068000000000001,FIFO,In Stock,0,2025-06-26,-0.07139999999999999,0.9567,
SKU0002,Fresh Product 112,Fresh Produce,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH4257,2025-04-08,2025-02-22,2025-04-11,154,314,64,0,0,1,34.99,796000,8.97,744.0,254,14,1.45,1.33,456.71,3.34,12.0,0.8461,FEFO,Low Stock,4,2025-08-12,0.0215,0.86,
SKU0003,Meat Product 446,Meat,B,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH6574,2025-03-15,2025-02-26,2025-04-02,178,485,28,62,3,1,36.55,1377,13.27,225.0,79,4,1.86,1.69,902.63,2.26,11.0,0.8536,FIFO,Expiring Soon,-5,2025-08-13,0.06849999999999999,0.8764,
SKU0004,Seafood Product 48,Seafood,A,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH5333,2025-06-10,2025-04-20,2025-06-18,91,281,92,49,0,0,25.49,716000,11.02,162.0,60,4,14.5,14.12,4073.15,2.72,10.0,0.7281,FIFO,Expiring Soon,0,2025-07-13,-0.0669,0.7115,
SKU0005,Personal Product 194,Personal Care,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH6925,2025-06-26,2025-05-21,2030-01-03,75,235,63,33,0,2,17.05,518000,13.78,80.0,29,3,9.46,10.31,2222.91,2.18,2.0,0.7093,FIFO,In Stock,-5,2025-06-11,0.0123,0.7625,High return rate
SKU0006,Beverages Product 41,Beverages,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH8428,2025-06-04,2025-04-25,2027-12-25,97,446,66,31,1,1,32.81,1058,13.59,349.0,119,7,5.16,5.86,2303.14,2.21,7.0,0.7644,FEFO,In Stock,-4,2025-08-20,0.019799999999999998,0.7123,
SKU0007,Dairy Product 137,Dairy,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH9751,2025-03-31,2025-02-13,2025-04-12,162,368,87,118,0,0,53.35,1521,6.9,169.0,62,2,2.13,2.36,784.87,4.35,13.0,0.9782,FIFO,Expiring Soon,0,2025-08-20,0.0721,0.6844,
SKU0008,Meat Product 474,Meat,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH1916,2025-03-18,2025-03-04,2025-04-02,175,135,73,32,0,1,21.71,469000,6.22,66.0,23,2,4.89,5.62,660.64,4.82,9.0,0.9369,FIFO,Expiring Soon,-5,2025-07-31,-0.0466,0.7311,
SKU0009,Fresh Product 468,Fresh Produce,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH9179,2025-07-17,2025-06-22,2025-07-30,54,1,126,83,0,0,78.76,1975,14.87,357.0,121,3,1.33,1.4,1562.93,2.02,22.0,0.8140999999999999,FEFO,Expiring Soon,1,2025-08-22,0.0355,0.8452,
SKU0010,Meat Product 288,Meat,C,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH7543,2025-04-13,2025-03-21,2025-05-01,149,49,12,16,2,0,7.23,176000,6.78,85.0,34,7,11.34,11.67,555.45,4.43,9.0,0.8713,FIFO,Low Stock,-3,2025-08-23,-0.0478,0.706,
SKU0011,Fresh Product 25,Fresh Produce,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7916,2025-04-02,2025-02-23,2025-04-07,160,711,4,124,2,2,75.51,2740,9.42,231.0,80,2,1.12,1.07,795.61,3.19,27.0,0.8085,FIFO,Expiring Soon,0,2025-07-22,-0.0349,0.8499,
SKU0012,Personal Product 271,Personal Care,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH2876,2025-09-07,2025-07-26,2030-07-01,2,66,16,12,1,0,6.86,179000,9.62,73.0,25,7,6.85,7.15,452.13,3.12,5.0,0.8092,FEFO,Low Stock,2,2025-06-19,-0.0015,0.6092,
SKU0013,Meat Product 81,Meat,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH3927,2025-07-04,2025-06-02,2025-07-25,67,443,71,24,0,1,37.28,1165,11.88,394.0,133,7,1.66,1.57,736.4,2.52,9.0,0.9588,FIFO,Expiring Soon,-4,2025-06-21,0.011399999999999999,0.6369,
SKU0014,Pantry Product 312,Pantry,B,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH9837,2025-06-06,2025-04-18,2027-05-02,95,130,71,51,0,0,21.21,784000,6.13,231.0,83,7,11.19,11.78,1454.61,4.89,10.0,0.7895,FIFO,Low Stock,-1,2025-06-25,-0.0837,0.6104999999999999,
